ticker,valor_actual,variacion,volumen
ASC,$13.41,0.27,628920
ASCA,$10.50,0.08,50001
ASCAU,$10.99,0.00,5
ASCB,$10.49,0.02,128
ASCBU,$10.5752,152,3300
ASCBW,$0.032,-3,153
ASG,$5.01,0.08,208054
ASGI,$17.72,0.12,43178
ASGN,$66.38,1.82,440773
ASH,$91.02,2.12,729824
ASIX,$37.24,2.19,165557
ASLE,$16.25,0.08,96198
ASLN,$4.21,0.02,29308
ASM,$0.8803,-186,541349
ASMB,$1.03,-0.01,250873
ASML,$650.32,15.27,801395
ASND,$94.45,0.44,695012
ASNS,$4.21,-0.82,969694
ASO,$61.00,-0.04,1036181
ASPI,$0.55,-0.04,224831
ASPN,$7.43,0.03,2230109
ASPS,$4.35,-0.15,177384
ASR,$282.11,4.48,65167
ASRT,$6.15,0.25,1895211
ASRV,$2.89,0.02,3766
ASST,$0.9495,-56,22730
ASTC,$10.35,0.05,3159
ASTE,$42.12,1.68,130766
ASTI,$0.234,143,359368
ASTL,$7.16,0.18,371808
ASTLW,$1.55,0.08,13490
ASTR,$0.3816,115,859853
ASTS,$5.06,0.28,1081919
ASTSW,$1.4999,771,4444
ASUR,$13.65,-0.13,296848
ASX,$7.11,0.12,5226442
ASXC,$0.6286,86,209509
ASYS,$9.05,0.36,28040
ATAI,$2.01,0.06,570808
ATAK,$10.47,0.04,100
ATAKW,$0.0193,8,2000
ATAQ,$10.17,0.00,3
ATAT,$19.72,-0.42,105737
ATCO^D,$22.39,0.21,8265
ATCO^H,$20.94,0.27,8883
ATCO^I,$22.79,0.04,6358
ATCOL,$23.10,0.00,13
ATEC,$15.16,0.50,2561942
ATEK,$10.31,0.00,41
ATEN,$13.76,-0.22,1097102
ATER,$0.7367,322,353849
ATEX,$31.03,0.45,239128
ATGE,$41.65,-0.45,311310
ATH^A,$20.24,0.69,39792
ATH^B,$18.61,0.57,15887
ATH^C,$22.06,0.72,29580
ATH^D,$15.90,0.43,36699
ATH^E,$23.8816,2.916,12734
ATHA,$2.96,0.02,187366
ATHE,$3.04,-95,3552
ATHM,$29.67,0.05,380600
ATHX,$0.80,-12,109758
ATI,$36.84,1.48,1656878
ATIF,$1.6813,297,181
ATIP,$0.25,-93,659727
ATKR,$125.49,3.12,530955
ATLC,$28.30,1.52,21552
ATLCL,$21.1766,5.766,2510
ATLCP,$17.1857,8.084,3645
ATLO,$18.35,0.36,29862
ATLX,$23.96,07.03,2152236
ATMC,$10.36,0.00,1
ATMCU,$10.58,0.03,410
ATMCW,$0.04,-4,540
ATMVU,$10.38,-252,239
ATNF,$1.09,0.03,162593
ATNFW,$0.0159,-4,63165
ATNI,$36.74,0.68,50603
ATNM,$8.80,-0.07,155179
ATNX,$1.36,0.01,33367
ATO,$117.56,-0.40,1169193
ATOM,$9.70,0.51,374228
ATOS,$0.686,91,288219
ATR,$121.70,2.90,171147
ATRA,$2.91,0.16,970397
ATRC,$48.34,1.21,401818
ATRI,$608.80,18.79,3701
ATRO,$15.17,0.66,108525
ATSG,$14.93,-4.93,3694076
ATTO,$1.09,-1.901,57291
ATUS,$2.97,0.20,3549502
ATVI,$76.00,1.41,5202399
ATXG,$0.802,-801,553022
ATXI,$1.02,-29,102850
ATXS,$12.77,0.12,53563
AU,$28.34,-0.79,3507335
AUB,$25.41,1.33,847951
AUB^A,$18.97,2.30,91833
AUBN,$21.94,-0.21,888
AUD,$0.1111,-18,609549
AUDC,$9.95,0.03,96001
AUGX,$3.70,0.50,642918
AUID,$0.3593,-207,1479
AULT,$0.0911,32,3324632
AULT^D,$10.87,0.02,2199
AUMN,$0.223,-7,352498
AUPH,$11.56,0.22,4146900
AUR,$1.46,0.11,1351250
AURA,$9.71,0.42,56840
AURC,$10.14,0.00,15
AUROW,$0.21,219,33135
AUST,$1.1397,97,80096
AUTL,$1.89,-0.03,628055
AUUD,$0.40,-179,91285
AUUDW,$0.10,0.00,2500
AUVI,$0.4585,-17,253706
AUVIP,$19.49,0.00,36
AVA,$44.52,0.29,500168
AVAC,$10.5201,-99,2017
AVACU,$10.7091,2.091,623
AVACW,$0.0777,-73,1719
AVAH,$1.08,-0.01,172160
AVAL,$2.52,0.07,61708
AVAV,$102.82,02.03,94165
AVB,$179.75,1.48,755666
AVD,$18.78,0.42,107784
AVDL,$14.96,0.71,2070047
AVDX,$8.04,-0.21,2959486
AVGO,$630.12,19.96,2486433
AVGR,$0.4723,184,125862
AVHI,$10.51,-0.06,1474
AVHIW,$0.05,0.00,100
AVID,$22.11,-2.74,1905817
AVIR,$3.35,0.02,590278
AVK,$11.58,0.14,74196
AVNS,$23.97,0.43,306769
AVNT,$38.49,1.49,413409
AVNW,$28.03,-0.54,114770
AVO,$11.80,0.14,85000
AVPT,$4.48,0.08,354863
AVPTW,$0.6452,-49,8835
AVRO,$0.70,441,198068
AVT,$42.76,0.35,823603
AVTA,$24.11,0.28,274355
AVTE,$22.01,01.04,50869
AVTR,$20.05,-0.18,3515651
AVTX,$2.60,-0.22,25124
AVXL,$8.44,0.04,796390
AVY,$172.08,3.93,514327
AWF,$10.03,0.18,294311
AWH,$0.3067,67,183653
AWI,$67.45,0.96,493124
AWIN,$0.69,199,53512
AWINW,$0.0406,57,2422
AWK,$148.43,0.61,548403
AWP,$3.96,0.04,185503
AWR,$90.88,0.17,87433
AWRE,$1.65,0.02,4363
AWX,$2.68,0.02,396
AX,$39.87,2.80,630426
AXAC,$10.46,0.00,1
AXDX,$0.81,-5,194681
AXGN,$9.42,0.41,300578
AXL,$7.41,0.67,1628692
AXLA,$0.40,5,51881
AXNX,$52.44,02.05,625685
AXON,$219.91,0.81,796605
AXP,$152.65,3.84,2221889
AXR,$13.94,184,2443
AXS,$54.60,1.19,448247
AXS^E,$21.62,0.47,16295
AXSM,$73.74,2.59,971613
AXTA,$30.35,0.98,1751752
AXTI,$2.89,0.11,290148
AY,$24.85,-0.07,687683
AYI,$157.98,03.03,141389
AYRO,$0.4877,176,67436
AYTU,$1.53,-0.05,130840
AYX,$35.97,0.49,2690965
AZ,$1.25,-25,8045
AZEK,$26.23,-0.09,3466390
AZN,$75.27,0.89,3407949
AZO,$2691.58,29.98,75755
AZPN,$172.57,8.51,219942
AZRE,$2.15,0.26,359768
AZTA,$45.59,1.24,1188993
AZUL,$7.00,0.21,1947767
AZYO,$2.40,-0.07,24323
AZZ,$36.60,0.30,93123
B,$41.46,0.49,175510
BA,$198.34,1.29,3870063
BABA,$83.22,0.73,17500151
BAC,$27.71,0.72,50049800
BAC^B,$24.73,0.21,69916
BAC^E,$20.05,0.35,25185
BAC^K,$24.29,0.15,38953
BAC^L,$1150.85,5.85,4009
BAC^M,$22.78,0.23,50741
BAC^N,$21.33,0.13,55126
BAC^O,$18.63,0.07,45689
BAC^P,$17.58,0.08,56941
BAC^Q,$18.24,1.401,88842
BAC^S,$20.02,0.05,33422
BACA,$10.10,-0.01,34100
BACK,$0.1625,16,1411659
BAER,$4.52,0.22,8180
BAERW,$0.13,24,89804
BAFN,$14.5849,5.849,313
BAH,$93.08,1.00,706348
BAK,$9.17,1.58,10933243
BALL,$58.60,-0.66,2760562
BALY,$15.82,0.62,271013
BAM,$32.35,1.17,1260948
BANC,$10.55,0.54,908264
BAND,$11.51,0.39,875071
BANF,$75.29,3.69,89017
BANFP,$26.89,0.00,100
BANL,$2.97,0.28,617834
BANR,$45.16,1.56,353456
BANX,$14.70,0.23,79940
BAOS,$9.98,3.82,2685561
BAP,$141.35,7.44,298034
BARK,$1.02,0.00,1626317
BASE,$15.51,0.48,89665
BATL,$6.46,0.26,22419
